PROPOSALID,TITLE,ABSTRACT,PROPOSALTYPE,PI,TARGET_ID,Source_Name,RA(J2000)(h m s),DEC(J2000)(d m s),Exposure_time(secs),PRIMARYINSTRUMENT
A02_055,Spectral and timing studies of radio-loud narrow-line Seyfert 1 galaxies,"We propose UV and X-ray observations with instruments UVIT, SXT, LAXPC and CZTI on board AstroSat, of three radio-loud narrow-line Seyfert 1 galaxies (RL-NLS1s) namely B3 1702+457, MRK 766 and 1H 0323+342. These RL-NLS1s exhibit intra-night optical variability and 1H 0323+342 is also detected in gamma-ray with Fermi-LAT. Our aim is to understand the emission mechanisms in RL-NLS1s by studying components characterizing broad-band spectra and multi-band variability. The simultaneous UV to hard X-ray data from AstroSat combined with co-ordinated optical, IR data (from Mt. Abu) and radio data (from GMRT) will allow us to make first attempt to study these RL-NLS1s with simultaneous multiwavelength observations across radio to hard X-rays. In order to obtain spectra with good signal-to-noise ratio we request 80 ks observation for each source, and thus a total observing time of 240 ks (~ 67 hours).",Reg,veeresh,T01,B3 1702+457,17 03 30.4,+45 40 47,75000.0,sxt
A02_058,Star-forming S0 galaxies in the nearby universe,"Understanding the precise star-formation history of galaxies and its dependence on galaxy mass, morphology and environment is one of the most important outstanding problems in galaxy evolution. UV data, which are the most precise probe of (relatively unobscured) recent star-formation are crucial to resolving degeneracies in the modeling. For nearby galaxies of large angular size, such modeling can be carried out for individual star-forming regions. For this purpose, the unprecended angular resolution of UVIT is critically required. In this pilot study, we request UVIT observations of 5 nearby S0 galaxies, which show some evidence of recent star-formation. We will combine the UVIT UV data with archival observations in optical, near-IR and mid-IR and stellar population synthesis models to model the resolved star-formation histories of these galaxies.",Reg,omkar,T02,NGC 4262,12 19 30.582,14 52 39.780,3000.0,uvit1
A02_058,Star-forming S0 galaxies in the nearby universe,"Understanding the precise star-formation history of galaxies and its dependence on galaxy mass, morphology and environment is one of the most important outstanding problems in galaxy evolution. UV data, which are the most precise probe of (relatively unobscured) recent star-formation are crucial to resolving degeneracies in the modeling. For nearby galaxies of large angular size, such modeling can be carried out for individual star-forming regions. For this purpose, the unprecended angular resolution of UVIT is critically required. In this pilot study, we request UVIT observations of 5 nearby S0 galaxies, which show some evidence of recent star-formation. We will combine the UVIT UV data with archival observations in optical, near-IR and mid-IR and stellar population synthesis models to model the resolved star-formation histories of these galaxies.",Reg,omkar,T03,NGC 1533,4 9 51.852,-56 7 6.390,3000.0,uvit1
A02_063,Study of the Broadband spectral and temporal variations of a Z Source Cyg X-2 using ASTROSAT,"Requested observation: Propose to observe Cyg X-2 using LAXPC for an effective exposure time of 20 ks. Context: Cyg X-2 is a prototype of Z-type sources showing a horizontal, normal and flaring branches in the X-ray colour-colour diagram (CCD) and QPOs in the respective branches. The spectrum is modeled with multi-temperature black body along with a Compton tail in the high intensity state. Objectives and Expected scientific results : We would like to study the correlated spectral and temporal variation of the source as source traverses a Z track in CCD. We propose to study the cross-correlation functions of energy dependent light curves (i.e. 3-5 keV vs 10-20 keV, 20-50 keV). We would like to explore the auto-correlation functions in various energy bands inorder to constrain the reprocessing models. The origin of 6 Hz QPO would be explored using the data.",Reg,sriramou,T01,Cyg X-2,21 44 41.150,38 19 17.101,20000.0,laxpc2
A02_065,Catching the prototype of transitional millisecond pulsars in its next accretion outburst,"The recent discovery of swings between an accretion powered (X-ray) and a rotation powered (radio) pulsar state from the transient IGR J18245-2452 in the globular cluster M28 proved the evolutionary link shared by these two classes of sources, and showed that transitions between these two regimes can take place over timescales as short as a few weeks, depending on the variations of the mass accretion rate. IGR J18245-2452 also showed dramatic variations of the X-ray flux on a shorter timescale, possibly due to propeller centrifugal inhibition of accretion. These properties make it the ideal case to study the disk-magnetosphere interaction around a fast pulsar. We propose an anticipated ToO 60 ks observation of IGR J18245-2452 during the next outburst of the source, to measure the long term spin and orbital evolution of the pulsar, and follow its correlated magnitude-spectral variability over a broad 0.3-80 keV band.",AToO,mbagchi,T01,IGR J18245-2452,18 24 32.500,-24 52 7.799,30000.0,laxpc1
A02_070,Broadband SED modelling of the Seyfert 1.5 galaxy Mrk 0926,"We propose a 15~ks UVIT observation of the Seyfert~1.5 galaxy Mrk~0926, along with SXT and LAXPC for a detailed broadband SED modelling of the source. We have multi-wavelength data from XMM-Newton,SDSS,WISE and UKIDSS/2MASS for a sample of type~1 AGN including Mrk~0926, one among the hardest X-ray sources in the sample. Though EPIC-pn data are available, the energy coverage is limited to 0.2-10~keV. The proposed observation will help us to extend our study by including X-ray data from 0.3-80~keV.The simultaneous multi-wavelength capability of ASTROSAT can better constrain the SED fit with UVIT observations in the optical/UV band, in addition to SDSS data. The modelling will be done using the self-consistent energy-conserving model optxagnf which can accurately determine the bolometric luminosity and well constrain parameters like Eddington-ratio and hard X-ray photon index.These observations will also help to study the short time-scale spectral variability of the source in the UV and X-ray bands.",Reg,savithri,T01,Mrk 0926,23 4 43.49,-8 41 8.52,15000.0,uvit1
A02_071,Exploring the iron line - kHz QPO connection,"The nature of the ultra-dense matter in neutron stars remains enigmatic and there is still a wide variety of possible internal compositions. Obtaining accurate radii and masses for neutron stars will allow to distinguish between these equations of state. We have suggested a powerful way to constrain both neutron star radii and masses by combining a measure of the inner disk radius from broad iron emission lines and the frequency of kHz quasi-periodic brightness oscillations (QPOs). However, this method only works if both phenomena originate from the same part of the disk. Here, we propose 30 ks observations of each of the neutron star low-mass X-ray binaries GX 349+2 and GX 340+0 to simultaneously obtain an accurate measure of the inner disk radius from broadband spectroscopy and the kHz QPO frequency from timing.",Reg,sudip,T01,GX 349+2,17 5 44.490,-36 25 23.099,30000.0,sxt
A02_073,Star formation in galaxies falling into clusters,"Defying traditional wisdom, several star-forming galaxies have been discovered in galaxy clusters in the last decade. These galaxies are a rare class of transition objects ``caught in the act"", and therefore provide essential clues for understanding the evolution of galaxies from being actively star-forming spirals and irregulars in the sparse environments, to passively-evolving spheroids in the core of groups and clusters. We propose to observe 4 such star-forming galaxies falling into clusters identified by their distorted morphology in far ultraviolet images. We intend to image these galaxies with UVIT. Together with the ancillary optical and infrared data, and complimentary 21 cm imaging proposed for the GMRT, we will use the Astrosat data to explore the extent of the tidal tails and the impact of gas loss on the morphology of the infalling galaxies. We will also study star formation efficiency in these galaxies undergoing tidal stress.",Reg,smriti,T02,PGC 36406,11 43 13.09,+20 00 17.36,12000.0,uvit1
A02_075,A Pilot Study of the Extended Ultraviolet Disks (XUV) of Spiral Galaxies,"We propose to do a pilot study of the UV emission from the low luminosity stellar disks of five spiral galaxies that have extended ultraviolet (XUV) disks. Our targets have all been detected by GALEX. They are all nearby spirals that we have selected based on UV luminosity. XUV galaxies show filamentary or diffuse star formation well beyond their optical disks, in regions where the disk surface density lies below the threshold for star formation. GALEX found that 30% of spiral galaxies have XUV disks. The star formation is thought to be triggered by gas accretion from nearby clouds, galaxies or the intergalactic medium. In this study we will investigate the nature of XUV disk star formation, estimate its rate and morphology. The high sensitivity of UVIT will help isolate the star forming knots, image the UV disks and search for signatures of gas accretion.",Reg,mousumi,T01,NGC2541,8 14 40.116,49 3 42.156,2000.0,uvit1
A02_075,A Pilot Study of the Extended Ultraviolet Disks (XUV) of Spiral Galaxies,"We propose to do a pilot study of the UV emission from the low luminosity stellar disks of five spiral galaxies that have extended ultraviolet (XUV) disks. Our targets have all been detected by GALEX. They are all nearby spirals that we have selected based on UV luminosity. XUV galaxies show filamentary or diffuse star formation well beyond their optical disks, in regions where the disk surface density lies below the threshold for star formation. GALEX found that 30% of spiral galaxies have XUV disks. The star formation is thought to be triggered by gas accretion from nearby clouds, galaxies or the intergalactic medium. In this study we will investigate the nature of XUV disk star formation, estimate its rate and morphology. The high sensitivity of UVIT will help isolate the star forming knots, image the UV disks and search for signatures of gas accretion.",Reg,mousumi,T02,NGC3319,10 39 9.458,41 41 12.048,2000.0,uvit1
A02_075,A Pilot Study of the Extended Ultraviolet Disks (XUV) of Spiral Galaxies,"We propose to do a pilot study of the UV emission from the low luminosity stellar disks of five spiral galaxies that have extended ultraviolet (XUV) disks. Our targets have all been detected by GALEX. They are all nearby spirals that we have selected based on UV luminosity. XUV galaxies show filamentary or diffuse star formation well beyond their optical disks, in regions where the disk surface density lies below the threshold for star formation. GALEX found that 30% of spiral galaxies have XUV disks. The star formation is thought to be triggered by gas accretion from nearby clouds, galaxies or the intergalactic medium. In this study we will investigate the nature of XUV disk star formation, estimate its rate and morphology. The high sensitivity of UVIT will help isolate the star forming knots, image the UV disks and search for signatures of gas accretion.",Reg,mousumi,T05,ugc4393,8 26 4.387,45 58 3.504,2000.0,uvit1
A02_077,Study of broadband spectral and temporal characteristics of the microquasar GRS 1758-258 with AstroSat,"We propose to study the persistent microquasar GRS 1758-258 for a total exposure of 30 ksec using SXT, LAXPC, CZTI and UVIT on-board AstroSat. SXT will be considered as the primary instrument. The source is a persistent confirmed black hole source, with bipolar radio jets observed from the core. The previous studies suggest that the source has occupied different types of spectral states. We propose to perform a correlated study of the UV and X-ray characteristics. The correlation between spectral state transition and radio emission/jet will also be explored. We will investigate the nature of Quasi-periodic oscillations, energy dependency of fractional variability, time resolved spectroscopy and time lag variation. Finally, we will model the broadband spectra so as to estimate the accretion flow parameters and to put a constrain on the mass of the black hole source.",Reg,Radhika,T01,GRS 1758-258,18 01 12.40,-25 44 36.10,30000.0,sxt
A02_080,Study of the Broadband temporal and spectral variations of an IP source IGR J16167-4957 using ASTROSAT,"Requested observation: Propose to observe IGR J16167-4957 using SXT for an effective exposure time of 15 ks and LAXPC for 15 ks. Context: IGR J16167-4957 is considered to be a hard IP source but there has been no detection of spin or orbital periods yet. A QPO was observed at 585 s but vaguely proved. Spectrum is hard along with an iron line. Objectives and Expected scientific results : Search for spin and orbital periods of this source and constrain any QPOs in this system. Study the temporal and spectral evolution and compare them with other IP sources, thus strengthening its candidature as an IP. Study the cross-correlation function and auto-correlation function to constrain the accretion geometry.",Reg,sriramou,T01,IGR J16167-4957,16 16 37.200,-49 58 47.500,15000.0,sxt
A02_081,Investigating the cyclotron resonance scattering feature in HMXB pulsar 4U 2206+54,"We propose a 40 ksec observation of 4U 2206+54 with Astrosat for better estimation of spin period and establish the presence/absence of cyclotron line in the pulsar. Though the nature of the compact object was unknown for long, recent detection of 5560 s pulsations confirmed the X-ray source as a neutron star. Investigation of spin period evolution of the pulsar imply the surface magnetic field to be ~10^14 G, comparable to that of magnetars. However, recent observational results are in disagreement with the magnetar nature of the X-ray source. Reports of detection of a cyclotron line at ~30 keV in the spectrum of 4U 2206+54 remains debatable till date. Using the proposed Astrosat observation, timing and spectral studies of 4U 2206+54 will help in establishing the presence of cyclotron line in the pulsar and estimate the magnetic field and spin period of the pulsar with better accuracy.",Reg,asat2016,T01,4U 2206+54,22 7 56.237,54 31 6.404,40000.0,laxpc1
A02_082,Characterising the outer atmosphere of ultra-fast rotating active stars,"Investigation of stellar coronae and chromospheric activity is one of the frontier areas of research in X-rays and UV. ASTROSAT’s capability to observe such sources simultaneously multi-wavelengths is a powerful tool to understand these activities and their inter-relationship. We propose to observe a low mass rapidly rotating highly active stars simultaneously with the UVIT, SXT and LAXPC instruments onboard ASTROSAT. We intend to study highly time-resolved correlations of coronal, chromospheric and photospheric activity phenomena. The requirement of strictly simultaneous observations results from the short-lived nature of the activity signatures under study. Hence, intensity variations will be studied over a time-scales as short as a few seconds. The proposed observations will yield insight into the nature of the associated magnetic dynamos.",Reg,lalithasairam,T01,GJ 3331,05 06 49.91,-21 35 09.23,20000.0,sxt
A02_085,ASTROSAT Observations of extreme blazars: Probing the curvature in the Synchrotron peak,"We request observations of the ""extreme"" TeV blazars, RGB J0710+591, using the multiwavelength instruments on board the ASTROSAT. We propose for 1 pointing of 40 ks. The proposed observation will provide unprecedented spectral resolution of the synchrotron peak and beyond of the so called class of EHBLs, which peak in the hard X-rays. Since the origin of the optical emission of these object is under debate, simultaneous UV-Xray bservations using ASTROSAT can resolve this uncertainty. Study of the hard X-ray spectrum, along with TeV observations, can give us hitherto unknown clues on the extragalactic background light and also the physical processes responsible for the outbursts in blazars.",Reg,atreyee,T02,RGB J0710+591,7 10 30.078,59 8 20.500,25000.0,sxt
A02_086,Investigation of wide-band characteristics of 1E 1740.7-2942 using AstroSat,"We propose to study the source 1E 1740.7-2942 for a total exposure of 10 ksec using SXT, LAXPC, CZTI and UVIT. SXT will be considered as the primary instrument. The source 1E 1740.7-2942 is a persistent microquasar with double-sided radio jets, and is observed to stay in hard state most of the time. An occasional spectral state transition exists implying presence of soft disk emission as well. We would like to study the broad-band spectral and temporal characteristics of the source. This will focus on correlated X-ray and radio behaviour, variation of radio emission during spectral state transition change in accretion dynamics and correlated UV and X-ray characteristics as well. Excellent timing capabilities of LAXPC will be used to search for low frequency QPOs and study energy dependency of rms variability and time lag. We plan to perform a broad-band X-ray spectral modeling to estimate the mass of the source.",Reg,samir,T01,1E 1740.7-2942,17 43 54.830,-29 44 42.601,10000.0,sxt
A02_090,Probing emission mechanism and geometry in crab pulsar by phase resolved polarimetry with AstroSat CZTI,CZT-Imager onboard AstroSat has significant polarization measurement capability at energies beyond 100 keV. Crab is a potential candiate for X-ray polarimetry observations with CZTI. Pulse phase resolved polarization measurements of Crab will be helpful in constraining the pulsar emission mechanism models and geometry. We have obtained statistically significant polarization signature for Crab from the available CZTI data (~481ks) when averaged over all phases. Estimated degree of polarization is ~35% with polarization angle ~140 degree which are consistent with previous measurements. We also have obtained estimates of polarization of the off-pulse emission which is found to be higher than the average. Significant polarization measurements in all phase bins require further observations of the target. Hence we propose 500ks observation of Crab and 60ks of blank-sky observation for background estimation. We estimate that this observation along with available data would allow to have at least 3-sigma polarization measurements in various phase bins.,Reg,tanmoy,T01,Crab,5 34 31.940,22 0 52.200,160000.0,czt1
A02_090,Probing emission mechanism and geometry in crab pulsar by phase resolved polarimetry with AstroSat CZTI,CZT-Imager onboard AstroSat has significant polarization measurement capability at energies beyond 100 keV. Crab is a potential candiate for X-ray polarimetry observations with CZTI. Pulse phase resolved polarization measurements of Crab will be helpful in constraining the pulsar emission mechanism models and geometry. We have obtained statistically significant polarization signature for Crab from the available CZTI data (~481ks) when averaged over all phases. Estimated degree of polarization is ~35% with polarization angle ~140 degree which are consistent with previous measurements. We also have obtained estimates of polarization of the off-pulse emission which is found to be higher than the average. Significant polarization measurements in all phase bins require further observations of the target. Hence we propose 500ks observation of Crab and 60ks of blank-sky observation for background estimation. We estimate that this observation along with available data would allow to have at least 3-sigma polarization measurements in various phase bins.,Reg,tanmoy,T02,Blank Sky,12 13 55.2,22 48 0.0,60000.0,czt1
A02_098,"AstroSat observation of 4U 1820-30: All kinds of QPOs, Thermonuclear Bursts and Burst Oscillations","We are proposing 23 ks effective exposure of the X-ray burster 4U 1820-30 using SXT, LAXPC and CZTI instruments on-board AstroSat satellite. The source 4U 1820-30 is a low-mass X-ray binary (LMXB). 4U 1820-30 is famous for kilo-hertz QPO, thermonuclear bursts and burst oscillations. These features of 4U 1820-30 have been mostly observed by RXTE/PCA and not confirmed by any other instrument. RXTE/PCA was also limited to ~ 25 keV. AstroSat LAXPC will provide an unique opportunity to observe these features as LAXPC have wide energy coverage from 3.0 – 80.0 keV with large area and high time resolution and thus enable us to do energy dependent timing analysis.",Reg,jayashreeroy,T01,4U 1820-30,18 23 40.570,-30 21 40.601,23000.0,sxt
A02_103,Investigating the origin of the X-ray seed photons and probing rapid X-ray variability from Seyfert 1.5 galaxy NGC 3227,"We propose four observations (each three weeks apart) of the rapidly variable Seyfert 1.5 galaxy NGC 3227, each of 40 ks. NGC 3227 has an average accretion rate (0.5% Eddington) similar to that at which Cygnus X-1 changes from harder-when-brighter to softer-when-brighter behaviour. Cyg X-1 has a total spectrum consisting of two powerlaws. The harder powerlaw is driven by synchrotron seed photons from the X-ray emitting corona and the soft by blackbody photons from the accretion disc. However rms spectra show only one, soft, powerlaw. Here, with total and rms spectra from each of the 4 observations at different flux levels, we will test whether NGC 3227 shows the same behaviour. Previous Suzaku observations hinted at similar two powerlaw total spectra but provided no rms spectra. Astrosat has far superior spectral coverage, particularly above 10 keV, allowing far better discrimination between powerlaws and the reflection components which confused earlier work.",monitoring,mayukh3107,T01,NGC 3227,10 23 30.570,19 51 54.299,80000.0,laxpc1
A02_104,Quiescence observations of Be X-ray transient A0535+26,"We propose an ASTROSAT observation of the HMXB Be binary 1A 0535+262 in order to probe the quiescence state of this source. This source has shown X-ray luminescence and pulsations during low mass transfer periods in multiple observations despite the fact that at very low accretion rates, spherical accretion is expected to be inhibited due to the propeller effect of the spinning neutron star. Given the presence of pulsations during some of the quiescent phase observations, which in turn indicate accretion onto the polar caps, we expect the presence of cyclotron resonant scattering features (CRSF) too (at ~ 45 keV ) during quiescence, which though have not been seen yet. Probing this with ASTROSAT’s higher sensitivity in the CRSF energies, would enable constraining the low mass accretion and magnetic field configurations during quiescence. This will also allow measurement of the hard X-ray pulsations in quiescence for the first time.",Reg,nirmal,T01,1A 0535+26,05 38 54.573,26 18 56.83,30000.0,laxpc1
A02_106,Nearest extragalctic Pulsar in M31,"Recent discovery of a 1.2 second modulation in M 31 (Andromeda galaxy) has indicated the presence of a pulsar 3XMM J004301.4+413017 (3X J0043), which hosts a neutron star. This is the first accreting binary system in M 31, for which the spin-period has been identified. We request a 50 ks observation using LAXPC instrument on ASTROSAT. The main objective of this proposal is to detect pulsations and carry out an energy resolved pulse profile analysis. There are ~200 accreting pulsars in our galaxy. Some of the persistent pulsars are very luminous and some transient pulsars can reach very high luminosities like 10^37ergss^-1. On an average there is more than one bright transient at any instant. We expect the same to be true for M 31. In the proposed observation, we plan to detect pulsations in the already known persistent pulsar 3X J0043 and hopefully, discover some new pulsars with LAXPC.",Reg,graman,T01,3XMM J004301.4+413017,0 43 1.46,41 30 17.03,laxpc1,
A02_108,Deep X-ray observations of the galaxy cluster Abell 3535,"Most of the massive merging clusters are host to cluster-scale diffuse radio sources termed as radio halos. Radio halos have been proposed to be generated by (re-)acceleration of fossil relativistic electrons in the ICM by MHD-turbulence injected during cluster mergers. Joint radio and X-ray studies are essential to study the radio halos and their origin. We propose X-ray observations of the galaxy cluster Abell 3535 in the Shapley supercluster which is an unusual ``low mass cluster with a candidate radio halo'' emission. We have deep radio observations with the MWA, GMRT and the JVLA for the cluster and propose Astrosat X-ray observations. The X-ray observations will be used to find the morphology of the intra-cluster medium and to study its luminosity and temperature. We propose an observation of 50ks with the SXT. Data from LAXPC will be used to find if there is hard X-ray emission associated with this cluster.",Reg,ruta,T01,Abell3535,12 57 48.0,-28 29 12,50000.0,sxt
A02_111,Observations of Supergiant HMXB Cen X-3 to study cyclotron line variations,"Cyclotron line variations with luminosity have been observed in transient Be HMXBs which conform to expected trends of correlation depending on source luminosity (Becker 2012). Apart from a weak correlation between luminosity and cyclotron line energy reported in Fürst (2014), persistent Supergiant HMXB systems (SgHMXBs) have not been studied systematically to note if such variations exist. We propose three observations of 15 kiloseconds each with ASTROSAT of a persistent SgHMXB (Cen X-3) with a large range of flux variations. This study will enable comparisons between wind fed SgHMXBs and disk accreting Be transients in terms of their cyclotron lines and how they are formed in the accretion column above the neutron star. Our proposal is of a monitoring kind to study variabilities with higher requested exposure times at different times and we cannot do the desired science with observations already done by ASTROSAT in GT phase.",monitoring,nirmal,T01,Cen X-3,11 21 15.79,-60 37 22.80,45000.0,laxpc1
A02_114,Broadband spectral energy distribution of PKS~0208-512 at its low $\gamma$-ray activity state,"The EGRET and Fermi observations reveal that a number of flat spectrum radio quasars (FSRQ) exhibit long term $\gamma$-ray variability. PKS~0208-512 is one such source which shows at least an order of magnitude lower $\gamma$-ray flux level during six years of Fermi operation in comparison to the averaged flux level detected by EGRET. Along with the long term variability, PKS~0208-512 also showed the short term variability (relatively much lower amplitude) in optical and X-ray region in the low $\gamma$-ray emission state. To understand the radiative process in sources at their low $\gamma$-ray activity state, observations in UV and soft X-ray band are crucial. Thus, we propose simultaneous observation of PKS~0208-512 with UVIT, SXT along with LAXPC and CZTI detectors on board ASTROSAT satellite which is essential to construct the broadband spectra of the source and to better understand the physical process responsible for such long term low $\gamma$-ray activity state.",Reg,debbijoy,T01,PKS 0208-512,2 10 46.200,-51 1 1.884,16030.0,uvit1
